# Number of 2,Number of 7,lambda,True A,True B,False B,False A
198,147,0.0,196,143,2,4
198,147,0.2,196,143,2,4
198,147,0.4,196,143,2,4
198,147,0.6,196,143,2,4
198,147,0.8,196,143,2,4
198,147,1.0,196,143,2,4
198,147,1.2,196,143,2,4
198,147,1.4,196,143,2,4
198,147,1.6,196,144,2,3
198,147,1.8,196,144,2,3
198,147,2.0,196,145,2,2
198,147,2.2,196,145,2,2
198,147,2.4,196,145,2,2
198,147,2.6,196,145,2,2
198,147,2.8,196,144,2,3
198,147,3.0,196,144,2,3
198,147,3.2,196,144,2,3
198,147,3.4,196,144,2,3
198,147,3.6,196,144,2,3
198,147,3.8,196,144,2,3
198,147,4.0,196,144,2,3
198,147,4.2,196,144,2,3
198,147,4.4,196,144,2,3
198,147,4.6,196,144,2,3
198,147,4.8,196,144,2,3
198,147,5.0,196,144,2,3
198,147,5.2,196,144,2,3
198,147,5.4,196,144,2,3
198,147,5.6,196,144,2,3
198,147,5.8,196,144,2,3
198,147,6.0,196,144,2,3
198,147,6.2,196,144,2,3
198,147,6.4,196,144,2,3
198,147,6.6,196,144,2,3
198,147,6.8,196,144,2,3
198,147,7.0,196,144,2,3
198,147,7.2,196,144,2,3
198,147,7.4,196,144,2,3
198,147,7.6,196,144,2,3
198,147,7.8,196,144,2,3
198,147,8.0,196,144,2,3
198,147,8.2,196,144,2,3
198,147,8.4,196,144,2,3
198,147,8.6,196,144,2,3
198,147,8.8,196,144,2,3
198,147,9.0,196,144,2,3
198,147,9.2,196,144,2,3
198,147,9.4,196,144,2,3
198,147,9.6,196,144,2,3
198,147,9.8,196,144,2,3
198,147,10.0,196,144,2,3
198,147,10.2,196,144,2,3
198,147,10.4,196,144,2,3
198,147,20.0,196,144,2,3
198,147,30.0,196,145,2,2
198,147,40.0,197,145,1,2
198,147,50.0,197,145,1,2
198,147,60.0,197,145,1,2
198,147,70.0,197,145,1,2
198,147,80.0,197,145,1,2
198,147,90.0,197,145,1,2
198,147,100.0,197,145,1,2
